ms_id,pass_id,labez,clique,sys_period,user_id_start,user_id_stop
212,48,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,49,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,50,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,51,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,52,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,53,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,54,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,55,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,56,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,57,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,58,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,59,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,60,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,61,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,62,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,63,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,64,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,65,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,66,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,67,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,68,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,69,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,70,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,71,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,72,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,73,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,74,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,75,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,76,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,77,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,78,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,79,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,80,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,81,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,82,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,83,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,84,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,85,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,86,d,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,87,c,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,88,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
