pass_id,labez,lesart
43,a,ο ισχυροτερος μου οπισω μου
43,b,οπισω μου ο ισχυροτερος μου
44,a,ο ισχυροτερος
44,b,ισχυροτερος
44,c,ο ισχυρος
45,a,μου οπισω μου
45,b,μου οπισω
45,c,οπισω μου
45,d,μου
45,zu,""
46,a,ικανος
46,b,αξιος
46,c,""
47,a,κυψας
47,b,""
48,a,των υποδηματων
48,b,του υποδηματος
49,a,εγω εβαπτισα υμας υδατι
49,b,om (cf. 7/8-18b)
50,a,εγω
50,b,""
50,zu,""
51,a,""
51,b,μεν
51,c,γαρ
51,zu,""
52,a,εβαπτισα υμας
52,b,υμας εβαπτισα
52,c,βαπτιζω υμας
52,d,υμας βαπτιζω
52,e,υμας βαπτισω
52,zu,""
53,a,""
53,b,εν
53,c,μεν
53,zu,""
54,a,""
54,b,εις μετανοιαν
54,zu,""
55,a,αυτος δε
55,b,και αυτος
55,c,αυτος
56,a,βαπτισει υμας
56,b,υμας βαπτισει
56,c,βαπτιζει υμας
56,d,υμας βαπτιζει
56,f,βαπτισει
57,a,εν
57,b,""
58,a,""
58,b,και πυρι
59,a,και εγενετο
59,b,εγενετο δε
59,c,εγενετο
59,d,και
59,e,""
60,a,εν εκειναις ταις ημεραις
60,b,εν ταις ημεραις εκειναις
60,c,τω καιρω εκεινω
61,a,""
61,b,και
62,a,ηλθεν ιησους
62,b,ηλθεν ο ιησους
62,c,ελθειν τον ιησουν
63,a,""
63,b,ο
64,a,της γαλιλαιας
65,a,εις τον ιορδανην υπο ιωαννου
65,b,υπο ιωαννου εις τον ιορδανην
66,a,εις τον ιορδανην
66,b,εν τω ιορδανη
66,c,εις τον ιορδανην ποταμον
67,a,ιωαννου
67,b,αυτου
68,a,ευθυς
68,b,""
69,a,αναβαινων
69,b,αναβαινοντος
70,a,εκ
70,b,απο
71,a,""
71,b,και
72,a,σχιζομενους τους ουρανους
72,b,ηνοιγμενους τους ουρανους
72,c,τους ουρανους ανεωγμενους
73,a,το
73,b,om (cf. 27c)
74,a,""
74,b,του θεου
74,c,θεου (cf. 24b)
75,a,ως περιστεραν καταβαινον
